Publication Number,Publication Date,Title,Priority Data,IPC,Applicants,Inventors,FP Image
US20090208610,21.08.2009,PIZZA,[200402236U 2004-10-01T23:59:59.000Z ES],A21D 13/00;A21D 13/00;A23L 1/16;A23L 1/16,,Sanchez Zarzoso Maria Isabel,
US20140020570,24.01.2014,Pizza Pan,,A21B 3/13,Ventimeglia Jamie Joseph;Ventimeglia Thomas Joseph;Ventimeglia Joel Michael,Ventimeglia Jamie Joseph;Ventimeglia Thomas Joseph;Ventimeglia Joel Michael,
US20130239763,20.09.2013,Pizza Cutter,,A21C 15/04,Cordova Robert;Martinez Eduardo,Cordova Robert;Martinez Eduardo,
EP1820402,23.08.2007,IMPROVED PIZZA,"[200402236U 2004-10-01T23:59:59.000Z ES, 2005070132 2005-09-23T23:59:59.000Z ES]",A21D 13/00;A23L 1/16,LAZARILLO DE TORMES S L,SANCHEZ ZARZOSO MARIA ISABEL,
US20030024843,07.02.2003,Pizza separator,[10110621 2002-04-15T23:59:59.000Z US],B65D 21/032;B65D 85/00;B65D 81/05;B65D 25/04;B65D 81/05;B65D 81/32;B65D 81/32;B65D 85/30;B65D 85/36,,dePoortere Thomas,
WO2002014184,22.02.2002,PIZZA SEPARATOR,"[60/225,166 14.08.2000 US]",B65D 85/36,"DEPOORTERE, Thomas","DEPOORTERE, Thomas",
CA2047295,08.02.1992,PIZZA PREPARATION,[90115057.3 1990-08-06T23:59:59.000Z EP],A21C 11/00;A21C 3/00,FRISCO-FINDUS AG,"WADELL, LARS GUSTAF ALBERT",
US5428898,05.07.1995,Pizza cutter,,B26B 29/00;B26B 25/00;B26B 25/00;B26B 29/00;B26B 29/00,Bicycle Tools Incorporated,Hawkins Howard C.,
CA2667902,16.05.2008,PIZZA BOX,[VR2006A000171 2006-11-09T23:59:59.000Z IT],B65D 85/36,"CASTIGLIONI, CARLO","CASTIGLIONI, CARLO;TAVOSO, ANDREA",
US20100001051,08.01.2010,PIZZA BOX,[2006VR0171 2006-11-09T23:59:59.000Z IT],B65D 5/00;B65D 5/00,,Castiglioni Carlo;Tavoso Andrea,
CA2654215,05.09.2010,MORE ATTRACTIVE PIZZA,,A21D 13/00;A23L 1/00;A23P 1/00,"BUJALSKI, WLODZIMIERZ","BUJALSKI, WLODZIMIERZ",
US4381317,27.04.1983,Method of making a pizza,,A21D 13/00;A21D 13/00,FOURNIER ROBERT L;FOURNIER PRISCILLA J,Fournier Robert L.;Fournier Priscilla J.,
WO2010130259,19.11.2010,PIZZA PACKAGING,[PA 2009 00612 14.05.2009 DK],B65D 85/36;B65D 30/02;B65D 33/02;B65D 75/58,"EHRNO FLEXIBLE A/S;ØSTERGAARD, Ole","ØSTERGAARD, Ole",
US20060037885,24.02.2006,Connectible pizza spacer,,B65D 85/30;B65D 5/50;B65D 85/36,HILBOURNE JASON,Hilbourne Jason,
EP2680242,02.01.2014,"Pizza box, pizza storage system, opening mechanism and a pizza oven for a pizza machine",[12173640 2012-06-26T23:59:59.000Z EP],G07F 17/00;A21B 1/00;B65B 69/00;B65D 5/00;B65D 5/54;B65D 85/36;B65G 59/06,PIZZA BOX INC AG,BONOMI JOHN;BONOMI NICOLA,
CA2314711,28.01.2002,DOUBLE LAYER - PIZZA HOLDER,,A47G 19/02;A47G 19/30,"MEDINA, OSCAR","MEDINA, OSCAR",
WO2008055554,16.05.2008,PIZZA BOX,[VR2006A000171 09.11.2006 IT],B65D 85/36,"CASTIGLIONI, Carlo;TAVOSO, Andrea","CASTIGLIONI, Carlo;TAVOSO, Andrea",
US6299918,10.10.2001,Pizza server,"[09472723 1999-12-27T23:59:59.000Z US, 60113999 1998-12-28T23:59:59.000Z US, 60114805 1999-01-05T23:59:59.000Z US]",B65D 85/00;A47G 21/00;A47G 21/00;A47G 21/04;B65D 5/20;B65D 5/20;B65D 85/30;B65D 85/36,MORGESE JOSEPH,"Morgese, Joseph",
US5482724,10.01.1996,Pizza tray,,B65D 81/26;B65D 65/38;B65D 65/42;B65D 81/26;B65D 81/26;B65D 85/30;B65D 85/36,"Morici, Dudley Associates",Morici Alfred;Dudley Mari' A.,
US5895698,21.04.1999,Pizza platform,,B65D 85/00;B65D 81/26;B65D 81/26;B65D 85/30;B65D 85/36,CACCIATORE; VINCENT;CACCIATORE; PATRICE,Cacciatore Vincent;Cacciatore Patrice,
US6753025,23.06.2004,Method of making pizza,"[08512338 1995-08-08T23:59:59.000Z US, 08804956 1997-02-24T23:59:59.000Z US, 09157388 1998-09-21T23:59:59.000Z US]",A21D 13/00;A21D 13/00;A21D 13/00,,"Tippmann, Eugene R.",
CA2051013,11.03.1993,PIZZA PACKAGING SYSTEM,,B65D 81/38;B65D 77/04;B65D 85/36,,"MONTALBANO, HENRY",
US4811846,15.03.1989,Pizza pouch,,B65D 81/36;B65D 81/00;B65D 1/34;B65D 1/34;B65D 85/00;B65D 85/00,BOTTEGA PHILIP M,Bottega Philip M.,
